"filename", "language", "C#", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\.VSCodeCounter\2023-02-28_20-01-57\details.md", "Markdown", 0, 0, 40, 0, 6, 46
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\.VSCodeCounter\2023-02-28_20-01-57\diff-details.md", "Markdown", 0, 0, 9, 0, 6, 15
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\.VSCodeCounter\2023-02-28_20-01-57\diff.md", "Markdown", 0, 0, 12, 0, 7, 19
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\.VSCodeCounter\2023-02-28_20-01-57\results.json", "JSON", 0, 1, 0, 0, 0, 1
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\.VSCodeCounter\2023-02-28_20-01-57\results.md", "Markdown", 0, 0, 14, 0, 7, 21
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\.VSCodeCounter\2023-02-28_20-49-52\details.md", "Markdown", 0, 0, 47, 0, 6, 53
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\.VSCodeCounter\2023-02-28_20-49-52\diff-details.md", "Markdown", 0, 0, 16, 0, 6, 22
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\.VSCodeCounter\2023-02-28_20-49-52\diff.md", "Markdown", 0, 0, 19, 0, 7, 26
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\.VSCodeCounter\2023-02-28_20-49-52\results.json", "JSON", 0, 1, 0, 0, 0, 1
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\.VSCodeCounter\2023-02-28_20-49-52\results.md", "Markdown", 0, 0, 19, 0, 7, 26
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\AudioControllerScript.cs", "C#", 19, 0, 0, 2, 7, 28
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\AxeTrigger.cs", "C#", 14, 0, 0, 3, 4, 21
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\ButtonScript.cs", "C#", 6, 0, 0, 0, 3, 9
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\CameraScript.cs", "C#", 58, 0, 0, 3, 20, 81
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\CarScreenScript.cs", "C#", 83, 0, 0, 6, 17, 106
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\DeathPanelRemoveGold.cs", "C#", 55, 0, 0, 2, 13, 70
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\GARAGETRIGGERSCRIPT.cs", "C#", 14, 0, 0, 0, 3, 17
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\GameControllerScript.cs", "C#", 123, 0, 0, 10, 30, 163
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\GarageScript.cs", "C#", 25, 0, 0, 0, 6, 31
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\GoldBarsScript.cs", "C#", 14, 0, 0, 0, 3, 17
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\GoldSpawner.cs", "C#", 16, 0, 0, 0, 5, 21
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\GunCameraScript.cs", "C#", 62, 0, 0, 3, 21, 86
